Message,Period,Time,Slot,Subject,Group,CTR,Revenue,Bid,VFC,Cost,Payoff
sync_net,1,18:19:33,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:33,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:33,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:33,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:33,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:33,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:34,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:34,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:34,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:34,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:34,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:34,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:34,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:34,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:35,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:35,1,1,2,380,3800,28.77,10,8493,-4693
